number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_label_smoothing,params_lr,params_n_context_tokens,params_n_cross_layers,params_n_encoder_layers,params_n_heads,params_warmup_epochs,params_weight_decay,state
29,0.3733535567097186,2026-03-25 01:50:36.401389,2026-03-25 02:06:24.351382,0 days 00:15:47.949993,64,0.19740582179150878,256,0.08591149681726859,0.0003370466099423704,8,3,3,8,28,3.043721232403144e-05,COMPLETE
30,0.47945431428447777,2026-03-25 02:06:24.352048,2026-03-25 02:27:36.240407,0 days 00:21:11.888359,64,0.2683220349371052,128,0.06241984250215799,0.0009399666206554746,8,2,3,2,25,6.670900629444019e-06,COMPLETE
31,0.43444265462312587,2026-03-25 02:27:36.241009,2026-03-25 02:46:17.527111,0 days 00:18:41.286102,64,0.32415511564525784,128,0.11965581265049868,0.00148414630430214,16,2,2,8,23,0.00010218795084927845,COMPLETE
32,0.38965148845634623,2026-03-25 02:46:17.527724,2026-03-25 02:54:12.793227,0 days 00:07:55.265503,128,0.3740679659140747,128,0.13454135048319144,0.0009942690551229558,8,2,2,8,24,7.526969023361003e-05,COMPLETE
33,0.3210461050148356,2026-03-25 02:54:12.793834,2026-03-25 02:58:30.564656,0 days 00:04:17.770822,256,0.4092194703467875,128,0.10102907935747386,0.0006640265336971481,16,2,3,8,28,4.275351178520466e-05,COMPLETE
34,0.28597335366527193,2026-03-25 02:58:30.565255,2026-03-25 03:09:39.307631,0 days 00:11:08.742376,32,0.4488559568039906,256,0.09126270704275387,0.001465185161142527,8,2,2,8,21,0.00017518166645543766,COMPLETE
35,0.38089083422470166,2026-03-25 03:09:39.308246,2026-03-25 03:15:42.954670,0 days 00:06:03.646424,128,0.3400179487024071,128,0.07941977110381677,0.0023665226481292168,16,2,2,8,26,1.6092714047438874e-05,COMPLETE
36,0.3232372740822234,2026-03-25 03:15:42.955401,2026-03-25 03:23:48.410884,0 days 00:08:05.455483,64,0.30026746341768873,128,0.12847020531757894,0.0018985525314502442,8,3,3,4,16,3.938572619909926e-06,COMPLETE
37,0.3803257973592434,2026-03-25 03:23:48.411483,2026-03-25 03:27:17.353910,0 days 00:03:28.942427,128,0.32557145814436017,512,0.13885327490140997,0.000988881391273868,16,1,2,8,29,0.00028525611396403006,COMPLETE
38,0.37366373619231524,2026-03-25 03:27:17.354525,2026-03-25 03:35:06.424953,0 days 00:07:49.070428,256,0.37038897417216465,256,0.12172637089164424,0.0005639288679341908,4,3,3,2,26,5.908268667655913e-05,COMPLETE
39,0.5192742116394562,2026-03-25 03:35:06.425558,2026-03-25 03:47:26.167454,0 days 00:12:19.741896,64,0.4032529689047537,128,0.0681405599543438,0.0032659560708565008,8,1,4,4,19,0.00012001235118013814,COMPLETE
40,0.25460739224226564,2026-03-25 03:47:26.168059,2026-03-25 03:51:13.017538,0 days 00:03:46.849479,64,0.4992062925899447,512,0.06129034624901183,0.004943361677320638,8,1,4,4,18,0.0014926835662729936,COMPLETE
41,0.3984854949612293,2026-03-25 03:51:13.018158,2026-03-25 04:04:53.871035,0 days 00:13:40.852877,64,0.40213936471657385,128,0.06837834360994373,0.00337569972770882,8,1,4,4,22,0.0001394721105106058,COMPLETE
42,0.2881367989706945,2026-03-25 04:04:53.871642,2026-03-25 04:11:45.341216,0 days 00:06:51.469574,64,0.4298992147545383,128,0.08431643144138411,0.003002807225583044,8,1,4,4,19,0.0005688737548884278,COMPLETE
43,0.4082268601467087,2026-03-25 04:11:45.341826,2026-03-25 04:27:33.885620,0 days 00:15:48.543794,64,0.390804995365742,128,0.10938200962289642,0.00048081869297597493,8,2,4,4,24,0.00010386378949565688,COMPLETE
44,0.524139548198308,2026-03-25 04:27:33.886232,2026-03-25 04:51:18.825790,0 days 00:23:44.939558,32,0.30964530300362814,128,0.09298688543788558,0.0016883572453151852,4,1,3,4,20,0.00026554296721052376,COMPLETE
45,0.40304350504401604,2026-03-25 04:51:18.826393,2026-03-25 04:53:55.442739,0 days 00:02:36.616346,256,0.10170625943873474,128,0.07524598257306002,0.0025997038378777182,4,1,3,4,14,0.00029421075713912396,COMPLETE
46,0.24667545092124643,2026-03-25 04:53:55.443401,2026-03-25 04:57:36.573930,0 days 00:03:41.130529,64,0.2594289063832985,512,0.052460842591977766,0.0039047703564578525,4,1,3,4,20,0.0008064257520467973,COMPLETE
47,0.5660705148711145,2026-03-25 04:57:36.574529,2026-03-25 05:24:01.071191,0 days 00:26:24.496662,32,0.3093950940556917,128,0.06902084319787051,0.0016979017358617111,4,1,3,4,17,0.0026501189571849692,COMPLETE
48,0.32434911633031716,2026-03-25 05:24:01.071846,2026-03-25 05:33:33.449943,0 days 00:09:32.378097,32,0.30502756552713,128,0.0021176270468076103,0.0028628492900692557,4,1,3,4,17,0.0027074120523731897,COMPLETE
49,0.5759864639700512,2026-03-25 05:33:33.450539,2026-03-25 06:03:09.826410,0 days 00:29:36.375871,32,0.3328873677437813,128,0.07269211920474483,0.0017336794399228728,4,1,4,4,10,0.007915343644605204,COMPLETE
