number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
20,0.5081532033057709,2026-03-24 09:54:55.456520,2026-03-24 09:56:31.206450,0 days 00:01:35.749930,0.8289048828222572,2.8314058825607864,0.009716645939069271,11,3,1700,1.8299747450610085e-05,0.006012439258424562,0.6672216647363824,COMPLETE
21,0.5058924864593517,2026-03-24 09:56:31.207348,2026-03-24 09:56:48.164977,0 days 00:00:16.957629,0.4007996541988903,3.6480671020616278,0.18132242130051626,11,5,1400,1.3525218523777129e-08,8.135287392133979,0.7133826526707893,COMPLETE
22,0.501638729450811,2026-03-24 09:56:48.165832,2026-03-24 09:57:04.660427,0 days 00:00:16.494595,0.4392539666035522,4.268961058535482,0.23061063772596052,12,5,1500,9.314158317150322e-08,4.121009118670374,0.7491999778977503,COMPLETE
23,0.4821694700516279,2026-03-24 09:57:04.661691,2026-03-24 09:57:24.658897,0 days 00:00:19.997206,0.5646332968048857,2.0729587829746876,0.1404790863149109,10,7,1200,5.017387555894284e-07,0.31193477698393474,0.6246822904190056,COMPLETE
24,0.5275310242838036,2026-03-24 09:57:24.659612,2026-03-24 09:57:51.261788,0 days 00:00:26.602176,0.4631477255707181,3.382731181145784,0.030470773217929452,11,4,1600,1.367231894474771e-08,0.08493095459417553,0.6882141599007544,COMPLETE
25,0.516225034363993,2026-03-24 09:57:51.262543,2026-03-24 09:58:25.332939,0 days 00:00:34.070396,0.6641463880960585,2.7905408684790194,0.03092396801127884,8,2,2000,5.970826690614986e-05,0.04891390031340028,0.5472173777554571,COMPLETE
26,0.5130442607453346,2026-03-24 09:58:25.333660,2026-03-24 09:59:23.111949,0 days 00:00:57.778289,0.45049431607201895,1.4583321254637305,0.013301679361795115,10,4,1800,8.018391532539838e-08,0.0013658322357601917,0.6707744594084097,COMPLETE
27,0.4966742666383502,2026-03-24 09:59:23.112965,2026-03-24 09:59:45.750481,0 days 00:00:22.637516,0.530957497938606,3.3828688980789923,0.06412921270090276,12,3,1700,1.4598463673674634e-06,0.02232338696976747,0.8472147933184166,COMPLETE
28,0.5155954936623197,2026-03-24 09:59:45.751080,2026-03-24 10:00:46.997391,0 days 00:01:01.246311,0.6164681253694997,2.6958012986525013,0.005024048896739518,11,4,1300,1.0698521530122004e-05,1.565751042240595,0.591379454359312,COMPLETE
29,0.4997118717399958,2026-03-24 10:00:46.998011,2026-03-24 10:01:02.667698,0 days 00:00:15.669687,0.46217349107966926,4.379832520821137,0.03441775711007339,9,2,1000,4.7878249685021826e-08,0.0025244715620066035,0.7970707656290243,COMPLETE
30,0.4915488259168976,2026-03-24 10:01:02.668538,2026-03-24 10:01:54.735346,0 days 00:00:52.066808,0.6848905070140927,0.6155467087603381,0.046544825332458774,12,6,1600,5.038881254065522e-07,0.12313099585186464,0.6452642546940686,COMPLETE
31,0.5136732120875483,2026-03-24 10:01:54.735951,2026-03-24 10:02:13.728582,0 days 00:00:18.992631,0.43403367657139696,3.6449204180522115,0.1135665799418829,11,5,1500,1.006302271315355e-08,2.3008997014078068,0.7175538935606582,COMPLETE
32,0.5070346327318819,2026-03-24 10:02:13.729196,2026-03-24 10:02:33.135539,0 days 00:00:19.406343,0.5395942885478513,3.429973307169483,0.062439994279345996,12,3,1400,3.387609371351174e-08,0.34396552671558633,0.7539890340119825,COMPLETE
33,0.5116220312616069,2026-03-24 10:02:33.136204,2026-03-24 10:02:53.432121,0 days 00:00:20.295917,0.4838526418026945,2.4558351013427853,0.28409546334304353,10,4,1600,4.354486563628268e-06,8.15183952479626,0.6795374874711168,COMPLETE
