number,value,datetime_start,datetime_complete,duration,params_batch_size,params_conv_filters,params_dropout,params_lr,params_lstm_hidden,params_lstm_layers,params_seq_len,params_weight_decay,state
25,0.5122002702409308,2026-03-26 10:07:18.566297,2026-03-26 10:10:02.920598,0 days 00:02:44.354301,32,64,0.4029259064573443,0.002981605917151987,256,1,5,3.3728610267667366e-05,COMPLETE
26,0.475205900136026,2026-03-26 10:10:02.921656,2026-03-26 10:12:26.233679,0 days 00:02:23.312023,32,64,0.4022575135941479,0.002836158223360077,256,1,5,4.2621723067830665e-05,COMPLETE
27,0.4796481883028383,2026-03-26 10:12:26.234597,2026-03-26 10:15:53.938779,0 days 00:03:27.704182,32,64,0.4999105706218554,0.001178535963418929,256,2,5,2.0856371314003272e-05,COMPLETE
28,0.3955475643477225,2026-03-26 10:15:53.939542,2026-03-26 10:16:36.008522,0 days 00:00:42.068980,128,64,0.4684787795601576,0.0015787843595291401,128,1,5,0.00013262418663697098,COMPLETE
29,0.4478565077286467,2026-03-26 10:16:36.009681,2026-03-26 10:20:16.046431,0 days 00:03:40.036750,32,64,0.4228388329236479,0.00054106828219827,32,3,5,4.5635710191635636e-06,COMPLETE
30,0.37605243310043884,2026-03-26 10:20:16.047387,2026-03-26 10:20:58.130203,0 days 00:00:42.082816,128,64,0.3214758310383088,0.0010417182396250558,256,1,5,0.00039910462322995447,COMPLETE
31,0.44286597282250795,2026-03-26 10:20:58.130953,2026-03-26 10:24:50.055041,0 days 00:03:51.924088,32,128,0.447088230203754,0.0026837208482934373,256,1,20,1.1537431023437777e-05,COMPLETE
32,0.24982318822334118,2026-03-26 10:24:50.055909,2026-03-26 10:27:54.441437,0 days 00:03:04.385528,32,128,0.439247481296212,0.0033753089249356286,256,1,30,3.1873846117255163e-06,COMPLETE
33,0.4811399838704407,2026-03-26 10:27:54.442208,2026-03-26 10:33:09.493450,0 days 00:05:15.051242,32,128,0.47094595921463955,0.004880023698063371,256,1,20,5.489683188063519e-05,COMPLETE
34,0.49363027104896157,2026-03-26 10:33:09.494496,2026-03-26 10:36:16.468485,0 days 00:03:06.973989,32,128,0.410444420818881,0.00162834056249928,32,1,10,1.890809395787574e-05,COMPLETE
35,0.34774249959892095,2026-03-26 10:36:16.469390,2026-03-26 10:38:12.760107,0 days 00:01:56.290717,64,64,0.3468847494356662,0.001629554045009707,32,2,10,1.2390302662265625e-06,COMPLETE
36,0.4800819882849278,2026-03-26 10:38:12.761309,2026-03-26 10:40:47.109805,0 days 00:02:34.348496,32,128,0.29343136710122364,0.0007323097586129628,32,1,10,2.6111013683634332e-05,COMPLETE
37,0.4447553617059003,2026-03-26 10:40:47.110873,2026-03-26 10:42:30.822264,0 days 00:01:43.711391,64,32,0.40754418556618444,0.0017573663374972526,32,1,10,8.82408530106296e-05,COMPLETE
38,0.2589441158802214,2026-03-26 10:42:30.823179,2026-03-26 10:47:56.517186,0 days 00:05:25.694007,32,64,0.3266402508612633,0.0024210256489122376,32,1,10,0.0019988647268728704,COMPLETE
39,0.42920754723050797,2026-03-26 10:47:56.518165,2026-03-26 10:49:19.874077,0 days 00:01:23.355912,128,128,0.41652767903175225,0.0035743675686196303,64,2,10,1.433239147388941e-05,COMPLETE
40,0.21663689419310458,2026-03-26 10:49:19.875063,2026-03-26 10:51:50.871596,0 days 00:02:30.996533,64,32,0.3810084293779683,0.00025890568684337767,32,1,10,2.65886600731285e-06,COMPLETE
41,0.4203037164448889,2026-03-26 10:51:50.872526,2026-03-26 10:56:11.944705,0 days 00:04:21.072179,32,128,0.445052323491397,0.0028322851887394532,256,1,20,6.730354058667867e-06,COMPLETE
42,0.2571985016635736,2026-03-26 10:56:11.945587,2026-03-26 10:59:38.252664,0 days 00:03:26.307077,32,128,0.46541947960586677,0.001410622100540433,64,1,20,2.718391989173164e-05,COMPLETE
43,0.48713113788771806,2026-03-26 10:59:38.253707,2026-03-26 11:02:21.781627,0 days 00:02:43.527920,32,128,0.48217622938164884,0.0021513533186864942,256,1,5,1.2507073003200514e-05,COMPLETE
44,0.3644525584916431,2026-03-26 11:02:21.782427,2026-03-26 11:06:29.027689,0 days 00:04:07.245262,32,128,0.19689731824463685,0.0010515229539935942,32,1,20,5.052485512056569e-05,COMPLETE
45,0.4864644536133513,2026-03-26 11:06:29.028691,2026-03-26 11:10:42.515703,0 days 00:04:13.487012,32,128,0.4320801275024195,0.004006577046709853,256,2,5,6.924820349945675e-05,COMPLETE
46,0.4864075041165858,2026-03-26 11:10:42.516638,2026-03-26 11:14:33.385449,0 days 00:03:50.868811,32,128,0.45429996374591913,0.002664600162662595,256,1,10,0.00014762994584066908,COMPLETE
47,0.2406700251175263,2026-03-26 11:14:33.386229,2026-03-26 11:18:28.262719,0 days 00:03:54.876490,32,32,0.4856606445981269,0.0018523776908373436,64,1,30,1.5530070614222886e-05,COMPLETE
48,0.44633122096358485,2026-03-26 11:18:28.263659,2026-03-26 11:21:33.525998,0 days 00:03:05.262339,32,128,0.3775617875311234,0.003169644739705018,128,1,5,0.00025542263137946433,COMPLETE
49,0.3951783032311061,2026-03-26 11:21:33.526992,2026-03-26 11:24:07.734659,0 days 00:02:34.207667,64,128,0.4120446277118392,0.000902033291293359,256,1,20,3.1656376017227795e-05,COMPLETE
