number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
34,0.520866288764949,2026-03-24 09:47:58.901800,2026-03-24 09:48:15.787959,0 days 00:00:16.886159,0.8160092476621732,0.008229565216986326,9,94,1800,264,1.2888343178825036e-06,0.0012767718266831032,0.5431120225853188,COMPLETE
35,0.4926322906720801,2026-03-24 09:48:15.788758,2026-03-24 09:48:39.425191,0 days 00:00:23.636433,0.9067935331752441,0.005243679838894512,9,75,1900,217,9.058307993543369e-06,0.005548261560469413,0.5314378670200903,COMPLETE
36,0.5304943870720886,2026-03-24 09:48:39.426003,2026-03-24 09:48:55.864146,0 days 00:00:16.438143,0.5568570727418299,0.02976742360759995,10,95,1700,205,8.267385345619625e-08,9.722286010927322,0.5775077662819528,COMPLETE
37,0.5036400634895652,2026-03-24 09:48:55.865106,2026-03-24 09:49:07.863681,0 days 00:00:11.998575,0.5509555643175844,0.05892173851900059,10,100,1400,151,4.3283978267884485e-08,0.05695737884529878,0.5256360272421825,COMPLETE
38,0.5266933934212027,2026-03-24 09:49:07.864481,2026-03-24 09:49:24.691186,0 days 00:00:16.826705,0.6536823812236526,0.029147800947342557,11,95,1700,261,7.178516756221112e-08,6.7503491226406895,0.5709476645961103,COMPLETE
39,0.5205844516178871,2026-03-24 09:49:24.691979,2026-03-24 09:49:40.040136,0 days 00:00:15.348157,0.5622142865598743,0.0312860394023041,11,95,1700,262,5.9566626169305905e-08,9.807847578138368,0.5711098156765817,COMPLETE
40,0.5334851547358688,2026-03-24 09:49:40.041130,2026-03-24 09:49:50.918316,0 days 00:00:10.877186,0.6639676927289894,0.03636810054493483,11,93,1100,282,2.565286162164962e-06,7.235416795033082,0.5596436802781725,COMPLETE
41,0.5245106898580595,2026-03-24 09:49:50.919128,2026-03-24 09:50:00.337167,0 days 00:00:09.418039,0.6565865989704907,0.060752651200269375,11,93,1100,285,3.132236273784247e-06,8.710578098787604,0.5688893382831607,COMPLETE
42,0.5167159013341319,2026-03-24 09:50:00.338000,2026-03-24 09:50:10.933846,0 days 00:00:10.595846,0.6978100381031687,0.037667859511747885,10,96,1400,275,5.371976144283039e-08,1.6367411898584487,0.6128298172612399,COMPLETE
43,0.5215120111333253,2026-03-24 09:50:10.934778,2026-03-24 09:50:22.698349,0 days 00:00:11.763571,0.5306123057968023,0.044212710298767055,11,81,1300,299,1.4020175534739904e-06,2.6197447843093267,0.5612599766704927,COMPLETE
44,0.5248345652348515,2026-03-24 09:50:22.699155,2026-03-24 09:50:32.051927,0 days 00:00:09.352772,0.6342553258071865,0.02473833083045061,12,100,1100,248,1.5826836582058373e-07,3.5332588274229004,0.5223718497214023,COMPLETE
45,0.5197819125902029,2026-03-24 09:50:32.052901,2026-03-24 09:50:46.974902,0 days 00:00:14.922001,0.44903161795672614,0.03683322300979524,11,93,1800,211,2.1134655559678212e-05,0.4132200610029607,0.582160690687156,COMPLETE
46,0.5157929921711167,2026-03-24 09:50:46.975756,2026-03-24 09:50:56.845814,0 days 00:00:09.870058,0.6659691094609932,0.05086968809471351,10,87,1200,248,5.336583127425946e-07,0.12811557645658694,0.5444291332870931,COMPLETE
47,0.5234510026336664,2026-03-24 09:50:56.846613,2026-03-24 09:51:05.781448,0 days 00:00:08.934835,0.7044762510247563,0.023856874818212394,9,80,1000,231,2.868295213488946e-06,1.0993734293272301,0.6232914414762611,COMPLETE
48,0.5306126298460082,2026-03-24 09:51:05.783018,2026-03-24 09:51:26.082209,0 days 00:00:20.299191,0.6003370233760329,0.019976903226255747,12,70,1900,282,6.552464089571073e-08,0.09427466543938828,0.5074657274263185,COMPLETE
49,0.5186123261943912,2026-03-24 09:51:26.083053,2026-03-24 09:51:40.433252,0 days 00:00:14.350199,0.4959987596126938,0.07297636961631311,10,68,1900,284,1.112492727318832e-06,0.02378852454949961,0.5031193895487349,COMPLETE
