feature,combined_rank,f_rank,mi_rank,boruta_rank,rfe_rank,rf_rank,xgb_rank,shap_rank,in_g3
Realized_Cap_UTXO_Age_Bands_USD,361.575,117.0,114.0,1086.0,5.0,210.0,303.5,290.0,False
Treasury_10Y,361.95000000000005,104.0,208.0,1158.0,14.0,235.0,242.0,170.0,False
Miner_Depositing_Transactions_All_Miners,363.3,274.0,136.0,1184.0,15.0,211.0,165.0,179.0,False
TxTfrCnt,363.6,289.0,56.0,1143.0,25.0,179.0,176.0,290.0,False
FeeTotUSD,363.85,313.0,293.5,1153.0,7.0,198.0,187.0,92.0,False
Spent_Output_Age_Bands_USD,364.42499999999995,146.0,127.0,1176.0,13.0,262.0,303.5,101.0,False
MRR,365.375,50.0,37.0,1135.0,17.0,254.0,303.5,290.0,False
VtyDayRet180d,367.75,176.0,293.5,1148.0,12.0,223.0,232.0,141.0,False
Dollar_Index_Broad,368.00000000000006,202.0,293.5,1101.0,14.0,199.0,229.0,213.0,False
AdrBal1in10KCnt,368.35,233.0,293.5,1136.0,10.0,225.0,137.0,218.0,False
VIX_Vol30d,369.2,267.0,293.5,1193.0,16.0,216.0,159.0,106.0,False
Active_Receiving_Addresses,369.32500000000005,280.0,293.5,1129.0,7.0,139.0,303.5,125.0,False
Fed_Funds_Daily,371.2250000000001,163.0,35.0,1198.0,14.0,269.0,303.5,159.0,False
AdrBalNtv1KCnt,371.45,195.0,159.0,1180.0,27.0,159.0,191.0,290.0,False
All_Entities_Supply,372.05,105.0,293.5,1172.0,17.0,230.0,212.0,193.0,False
NASDAQ_Vol30d,372.55,199.0,94.0,1186.0,14.0,242.0,161.0,290.0,False
AdrBal1in1KCnt,372.8,131.0,28.0,1201.0,20.0,268.0,200.0,290.0,False
Dollar_Index_Close,373.09999999999997,243.0,169.0,1175.0,18.0,241.0,97.0,290.0,False
AssetCompletionTime,373.35,180.0,293.5,1183.0,21.0,234.0,51.0,290.0,False
GT_Bitcoin_MA30,374.09999999999997,183.0,133.0,1207.0,21.0,276.0,87.0,290.0,False
TxTfrValMeanUSD,374.22499999999997,83.0,213.0,1125.0,28.0,176.0,303.5,290.0,False
Transaction_Count__Mean,374.525,294.0,129.0,1171.0,17.0,193.0,303.5,140.0,False
AdrBalNtv10KCnt,374.75,244.0,46.0,1191.0,28.0,240.0,243.0,206.0,False
AdrBalNtv10Cnt,374.925,156.0,205.0,1111.0,14.0,170.0,303.5,290.0,False
Dollar_Index,375.15000000000003,234.0,92.0,1169.0,22.0,227.0,186.0,290.0,False
FeeByteMeanNtv,375.2,285.0,293.5,1196.0,18.0,267.0,55.0,181.0,False
SplyActPct1yr,376.25000000000006,190.0,293.5,1095.0,12.0,204.0,220.0,290.0,False
SplyAdrBalNtv100K,376.92499999999995,34.0,293.5,1074.0,13.0,256.0,303.5,290.0,False
Stablecoin_Supply_Ratio__SSR,377.25000000000006,292.0,108.0,1186.0,29.0,255.0,93.0,290.0,False
"Exchange_to_Exchange_Flow__Total_All_Exchanges,_Spot_Exchanges",378.59999999999997,249.0,293.5,1087.0,6.0,194.0,223.0,290.0,False
Stock_to_Flow_Ratio,380.1,150.0,181.0,1153.0,8.0,237.0,241.0,290.0,False
Unemployment_Rate,380.225,61.0,47.0,1195.0,16.0,260.0,303.5,290.0,False
BlkSizeMeanByte,380.54999999999995,206.0,293.5,1158.0,16.0,192.0,236.0,216.0,False
Oil_Close,381.075,148.0,58.0,1178.0,11.0,228.0,303.5,290.0,False
SP500_Index,382.575,118.0,293.5,1172.0,6.0,209.0,303.5,195.0,False
Consumer_Sentiment,383.00000000000006,262.0,174.0,1184.0,18.0,244.0,239.0,183.0,False
Treasury_20Y_Close,383.9,200.0,293.5,1180.0,13.0,245.0,203.0,196.0,False
AdrBalNtv100KCnt,385.04999999999995,36.0,293.5,1210.0,28.0,286.0,130.0,290.0,False
Fed_Balance_Sheet,386.325,155.0,293.5,1146.0,18.0,220.0,303.5,207.0,False
RevHashNtv,387.675,42.0,123.0,1206.0,15.0,258.0,303.5,290.0,False
Treasury_20Y_Vol30d,387.8,298.0,293.5,1176.0,19.0,205.0,208.0,191.0,False
Initial_Claims,389.175,164.0,293.5,1179.0,17.0,224.0,303.5,173.0,False
Dollar_Index_Major,389.8,297.0,293.5,1137.0,16.0,252.0,224.0,197.0,False
SP500,392.275,66.0,293.5,1158.0,12.0,226.0,303.5,290.0,False
CDLBELTHOLD,397.37499999999994,218.0,15.0,1207.0,30.0,261.0,303.5,290.0,False
Active_Addresses,397.95,238.0,293.5,1166.0,16.0,208.0,230.0,290.0,False
CDLDRAGONFLYDOJI,399.525,295.0,218.0,1227.0,28.0,327.5,40.0,290.0,False
FG_Classification,400.575,72.0,210.0,1200.0,19.0,270.0,303.5,290.0,False
GT_Bitcoin_MA7,400.95000000000005,279.0,293.5,1201.0,22.0,266.0,112.0,290.0,False
Yield_Curve_10Y2Y,401.45000000000005,145.0,293.5,1188.0,22.0,248.0,240.0,290.0,False
DeathCross,402.67500000000007,74.0,172.0,1218.0,24.0,279.0,303.5,290.0,False
CDLDOJI,402.75000000000006,270.0,65.0,1223.0,29.0,274.0,238.0,290.0,False
CDLSPINNINGTOP,405.34999999999997,290.0,176.0,1217.0,25.0,271.0,183.0,290.0,False
Labor_Participation,407.65000000000003,296.0,293.5,1199.0,20.0,264.0,152.0,290.0,False
CDLSEPARATINGLINES,410.325,139.0,196.0,1244.0,25.0,327.5,211.0,290.0,False
Binary_CDD,410.90000000000003,188.0,293.5,1219.0,27.0,263.0,213.0,290.0,False
CDLGRAVESTONEDOJI,411.67499999999995,273.0,26.0,1223.0,28.0,293.0,303.5,290.0,False
