Date,Open,High,Low,Close,Volume,MVRV,RealizedPrice,Short_Term_Holder_SOPR,Supply_in_Loss,Spent_Output_Profit_Ratio__SOPR_Day__1,Net_Realized_Profit_and_Loss__NRPL,RSI_14,UTXOs_in_Loss,UTXOs_in_Loss_pct,Supply_in_Loss_pct,Dist_to_SMA200,Adjusted_SOPR__aSOPR,Price_to_Realized,MVRV_z_365,ROI30d,BB_PercentB_20,Drawdown_from_ATH,Sharpe_30d,Supply_in_Profit_pct,OBV,UTXOs_in_Profit_pct,CapMVRVCur,Supply_in_Profit,logret_1d,Stoch_K_14_3,Net_Unrealized_Loss__NUL,Realized_Cap_UTXO_Age_Bands_pct,Stoch_D_14_3,y
2015-01-20,198.19,222.0,195.02,209.99,17666.92955613,0.6989513834133171,310.3144225225687,0.97153147,7720940.57802079,0.98673739,-2877956.14593637,31.990653648806244,10638223.0,64.46354974,56.18226661,-50.818097928172264,0.96011226,0.6767007420827428,-1.7880156041079553,-33.486427417566745,0.1691537909004012,-81.62961796533956,-3.0278714611045805,43.72093141,138195.5318473801,35.51950151,0.69895138,6008421.05229799,0.05596858907972974,37.7391874180865,0.76868889,0.75685799,33.74141064833179,1.0
2015-01-21,210.0,220.94,207.7,212.21,12590.09875994,0.6836606462888721,309.9781375993843,0.95802658,7825094.4087746,0.98733096,-3827756.69939201,32.90634886986476,10733228.0,64.9899302,56.92793317,-50.04727865831712,0.95000663,0.684596667505178,-1.823867474497754,-34.724700092279306,0.21238256166592154,-81.4354075357146,-3.21656805652825,42.9439694,150785.6306073201,34.97557434,0.68366065,5902912.61433026,0.010516439886931439,39.19397116644823,0.79348995,0.87984433,35.72739187418083,1.0
2015-01-22,212.2,219.0,201.98,212.7,15776.16247642,0.7391267647895126,308.34252155403306,0.84523359,7346720.43936938,0.92047698,-26546736.52686385,33.12039325832538,10467778.0,63.34575303,53.43325967,-49.6836242551899,0.82085834,0.6898172815348371,-1.6980139471042426,-35.051451952731384,0.24046582221228527,-81.39254126971629,-3.264725208412906,46.54333289,166561.7930837401,36.64938762,0.73912676,6399400.99390877,0.0023063717832330507,39.51507208387941,0.69179137,2.02523588,38.816076889471354,1.0
2015-01-23,211.8,218.0,205.0,214.97,14099.21631545,0.7578917737773447,308.28594649149403,1.01081347,7378332.04536582,0.99977882,-62303.4688485,34.16817962967781,10451167.0,63.29562345,53.65000403,-48.89412856608294,0.99921915,0.6973071670846704,-1.6557980850928729,-35.28703452843253,0.2763787597818175,-81.19395673131599,-3.300579994885581,46.31155856,180661.0093991901,36.68508111,0.75789177,6369096.56884892,0.010615761301852805,41.00262123197903,0.65858294,1.06436788,39.903888160768865,1.0
2015-01-24,214.74,239.0,213.79,233.83,33240.98053543,0.7566144105310119,308.1263708179484,0.99380041,7325916.65335979,0.99413351,-1384003.19136313,42.261799339306386,10413229.0,63.01191288,53.25687179,-44.144153613013074,0.98362078,0.7588769483743889,-1.659571141983771,-30.610125229983975,0.42196737507499177,-79.54404290125886,-2.5466512913893453,46.66271539,213901.9899346201,36.96475997,0.75661441,6418836.71078804,0.08409587209725754,53.36173001310617,0.66135583,1.00813833,44.626474442988176,0.0
2015-01-25,233.9,240.0,225.55,232.79,15348.70718827,0.8081468951231097,308.21392176011005,1.00462707,7075389.55328482,1.00008542,24261.24335553,41.95548172110397,10281821.0,62.18128889,51.42385096,-44.12953289035046,0.99922891,0.7552871027713854,-1.5374509033901136,-28.328201970443356,0.4340607612302961,-79.63502436378587,-2.2703174724750816,48.54050242,198553.2827463501,37.80954281,0.8081469,6678670.64282066,-0.004457595997086156,52.680209698558315,0.5870678,0.79388849,49.01485364788115,1.0
2015-01-26,232.55,249.49,230.0,245.78,14581.80859739,0.8258294034605236,308.196753707119,1.01200695,7066950.41920395,0.99934028,-154235.25606297,47.11183848745893,10246937.0,61.47780669,51.35085238,-40.743491017978506,0.99664095,0.7974775757487894,-1.4964834392575004,-22.78353754319824,0.543392708164858,-78.49863090395333,-1.5745676460324936,48.61861863,213135.0913437401,38.51282189,0.8258294,6690937.95655356,0.05430006724823536,72.64664695814533,0.56151471,0.69707044,59.56286222326992,1.0
2015-01-27,244.21,255.0,241.33,247.53,24107.49141235,0.8914722853979342,307.3031538650084,1.03432332,7009986.63907588,0.98621511,-8507415.27971488,47.78480313128732,10063270.0,60.40452116,50.92518553,-40.04916825577665,0.9563012,0.8054912450027588,-1.3414686369202096,-24.808626974483595,0.5710750727912957,-78.34553709681651,-1.8220784310699036,48.9742248,237242.5827560901,39.57600081,0.89147229,6741431.72875471,0.007094959927910356,79.25518620344914,0.47368408,1.95448814,68.19401428671758,1.0
2015-01-28,247.5,309.9,246.0,263.47,59001.02595308,0.8620229281567586,307.13081503111323,0.989943,7094339.2201966,0.99037019,-2974798.83323662,53.57888108008875,10211617.0,61.30551668,51.52403569,-35.91587313497908,0.97464651,0.8578429356667118,-1.4099919159713015,-16.065625995539968,0.7111643902640361,-76.95107121923908,-0.8331883783570947,48.42962353,296243.6087091701,38.67330895,0.86202293,6668269.92582359,0.06240772272301569,70.52063492063495,0.51177169,1.13819416,74.14082269407645,1.0
2015-01-29,263.44,278.51,243.1,265.59,22731.4408689,0.7684678137399354,306.7608509156932,1.04706546,7581511.90149963,1.01604985,3710275.60447955,54.30513261336394,10599283.0,63.67358353,55.0458322,-35.1087634932004,1.03300603,0.8657884446701832,-1.6373163845894043,-16.22295123336067,0.7385186034131415,-76.7656090071648,-0.8498846068629337,44.91788944,318975.04957807006,36.32061938,0.76846781,6186581.25036939,0.00801425678369016,71.86666666666666,0.64651315,1.93147121,73.88082926358356,0.0
2015-01-30,265.0,266.5,233.0,240.0,19763.79674773,0.7635708541447761,306.39903578803927,0.93743878,7612662.58615025,0.97332051,-6240467.20107599,45.127479409019216,10591009.0,63.53933154,55.25555426,-41.07723338460842,0.92649814,0.7832922821794622,-1.6501421415390782,-23.462065886404947,0.5380903671574602,-79.00427787838228,-1.5561931354022833,44.70456665,299211.25283034006,36.45110547,0.76357085,6159032.99705859,-0.10131484294907607,53.02419354838711,0.65271778,1.03193893,65.13716504522954,0.0
2015-01-31,237.45,243.85,220.0,235.27,30512.6545299,0.7480454832023987,305.99234282852626,0.95366885,7858465.86385867,0.97433378,-5435006.56315926,43.65876371269486,10829724.0,64.88249828,57.02540649,-41.957261725825944,0.94520708,0.7688754490560633,-1.6899981366737327,-25.204260054045456,0.5152575192040522,-79.41806856852916,-1.7503854077652345,42.78518921,268698.59830044006,35.09459157,0.74804548,5896072.81380978,-0.0199051325496637,36.7005937234945,0.69161163,1.08226438,53.863817979516064,0.0
2015-02-01,234.14,244.98,227.26,231.55,22807.39663988,0.7116362533726671,305.3978138678136,0.92488474,7934891.20078694,0.96396569,-6645012.16789557,42.48757970287197,10975405.0,65.42944695,57.56265648,-42.59920137157045,0.92064106,0.758191412922892,-1.7826076194497378,-26.87971705560994,0.5026080581064628,-79.74350226141424,-1.943300289648276,42.37820591,245891.20166056007,34.54898449,0.71163625,5841746.60630668,-0.015937957865566645,33.449418160197084,0.7442909,0.89769311,41.05806847735954,0.0
2015-02-02,231.55,234.8,225.52,230.56,14227.994063,0.7438727919961948,305.3093267147749,0.96108787,7723144.64033686,0.98349775,-2754998.91900674,42.16341448628637,10795444.0,64.16653154,56.01082303,-42.56381946614694,0.94981447,0.7551685449013257,-1.70519944339226,-26.810996127230013,0.5143189711016833,-79.83010961516591,-1.9352978301485788,43.97974626,231663.20759756007,35.82609808,0.74387279,6064219.79204634,-0.00428470067554907,30.936629526462397,0.68181805,0.72776323,33.69554713671797,0.0
2015-02-03,230.56,230.98,208.48,224.57,19706.71745936,0.7867603256567968,305.1658962714395,0.97486972,7226718.63192331,0.98434651,-3588896.15932845,40.16656459056721,10374357.0,61.66227059,52.39547132,-43.779114029735965,0.94484641,0.7358948124408012,-1.6005733080493452,-28.922297831935428,0.47062825480096204,-80.35412784645129,-2.180603642462568,47.51642968,211956.49013820008,38.3232089,0.78676033,6553769.99286665,-0.02632366966076192,20.93217197924389,0.61914289,0.88216018,28.4394065553011,1.0
2015-02-04,223.72,233.0,221.79,226.75,16869.16942919,0.7469433458042737,304.943737796709,1.00053093,7762426.0086916,0.99944889,-170364.87928896,41.25695113646446,10802852.0,64.1831036,56.26652807,-42.94866940194355,0.99856737,0.7435797883187327,-1.7061783382471185,-24.156269859852163,0.5012473835732577,-80.1634167038466,-1.649431242390141,43.66703212,228825.65956739007,35.7959711,0.74694335,6024222.88048045,0.009660626404795983,22.952186805040782,0.67654367,1.04112292,24.940329436915665,1.0
2015-02-05,226.75,244.39,225.73,232.3,17506.83531407,0.7443882044871974,304.6543896921561,0.96014017,7761758.73986964,0.9834892,-4591964.49303007,44.05232414859411,10826214.0,64.24763037,56.24548527,-41.26224725129821,0.93615804,0.7625033738549838,-1.7162451982551683,-12.73478587528174,0.5444996181971017,-79.67789062978419,-0.5173590127348537,43.725135,246332.49488146006,35.74290418,0.7443882,6033976.72044347,0.024181550781117556,26.024785510009547,0.67821784,0.87898795,23.30304809809805,0.0
